scorer,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200
bodyparts,left_ankle,left_ankle,left_ankle,left_knee,left_knee,left_knee,left_femoral,left_femoral,left_femoral,right_femoral,right_femoral,right_femoral,right_knee,right_knee,right_knee,right_ankle,right_ankle,right_ankle,left_wrist,left_wrist,left_wrist,left_elbow,left_elbow,left_elbow,left_shoulder,left_shoulder,left_shoulder,left_chest,left_chest,left_chest,right_chest,right_chest,right_chest,right_shoulder,right_shoulder,right_shoulder,right_elbow,right_elbow,right_elbow,right_wrist,right_wrist,right_wrist,hip,hip,hip,abdominal,abdominal,abdominal,head,head,head
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,275.9114990234375,846.1329345703125,0.6483915448188782,276.90087890625,743.4006958007812,0.5632354617118835,271.5154113769531,655.549072265625,0.8910090923309326,339.7469787597656,653.08544921875,0.6670452952384949,342.3788146972656,744.4773559570312,0.6460000872612,340.8110656738281,832.4293823242188,0.7253077626228333,240.94400024414062,633.9513549804688,0.5810387134552002,248.93582153320312,556.8433227539062,0.12176132202148438,268.4333190917969,460.23834228515625,0.5231007933616638,288.3542785644531,495.00927734375,0.6230582594871521,336.1529541015625,496.9580383300781,0.6878868341445923,360.70513916015625,454.5245361328125,0.8566653728485107,374.6116027832031,559.236083984375,0.6714957356452942,373.05377197265625,631.657470703125,0.7430714964866638,313.7943420410156,614.834716796875,0.5644277930259705,312.3000793457031,556.3146362304688,0.7603505253791809,305.6704406738281,360.73455810546875,0.7302278280258179
1,275.74786376953125,846.1205444335938,0.6505758762359619,277.219970703125,742.3218994140625,0.5434244871139526,272.1100769042969,656.3167114257812,0.8869391679763794,339.4864196777344,652.7080078125,0.6567820310592651,344.0490417480469,743.4913940429688,0.5938056111335754,341.7802734375,832.3751831054688,0.7194622755050659,240.99496459960938,634.445068359375,0.6241046190261841,249.55636596679688,557.2433471679688,0.1400795876979828,268.0099182128906,460.285400390625,0.5268972516059875,288.734619140625,494.0519714355469,0.5970444679260254,337.8313903808594,495.271240234375,0.7020128965377808,360.95574951171875,455.0210876464844,0.8435231447219849,375.02496337890625,567.9186401367188,0.6455371379852295,373.0028381347656,630.7896118164062,0.7382560968399048,314.2561950683594,615.2308349609375,0.5646193623542786,313.4879150390625,555.937744140625,0.7245050668716431,306.7591247558594,359.9753112792969,0.7084670066833496
2,275.6766357421875,846.1932373046875,0.592303454875946,277.304931640625,742.2728881835938,0.5233221054077148,273.8194580078125,656.922607421875,0.8805069923400879,339.4102783203125,653.9995727539062,0.6392834782600403,344.5675354003906,743.7164306640625,0.5207147002220154,342.52337646484375,832.086181640625,0.745378315448761,243.7161102294922,632.9972534179688,0.5747893452644348,250.33201599121094,556.6227416992188,0.13786989450454712,268.4803161621094,459.8515319824219,0.5784658193588257,289.679443359375,494.15496826171875,0.609430193901062,338.75689697265625,496.5755920410156,0.7098037600517273,362.805419921875,455.0527648925781,0.7850878238677979,372.9302062988281,566.9393920898438,0.6481013894081116,374.2141418457031,630.72314453125,0.719149649143219,315.0936279296875,620.1974487304688,0.5834578275680542,313.9816589355469,555.1215209960938,0.7244264483451843,307.12933349609375,359.65130615234375,0.677600085735321
3,276.1442565917969,845.6422119140625,0.6251838207244873,278.52972412109375,741.7279052734375,0.575391948223114,274.6849670410156,656.5264892578125,0.8803788423538208,343.3416748046875,650.951416015625,0.6028131246566772,343.2369079589844,737.28271484375,0.4997536540031433,343.6102600097656,832.7244262695312,0.7158190011978149,242.94825744628906,635.6458129882812,0.581348717212677,251.0565643310547,555.9702758789062,0.14305326342582703,268.39251708984375,460.23260498046875,0.5872135758399963,288.8968505859375,495.34295654296875,0.6170169711112976,338.77874755859375,495.3606872558594,0.6816093325614929,363.6570129394531,454.7161560058594,0.7660995721817017,374.21185302734375,565.9219970703125,0.672963559627533,375.32305908203125,627.9759521484375,0.7484159469604492,315.2066650390625,615.0596313476562,0.6143679022789001,316.8033447265625,554.8226318359375,0.7682214975357056,307.8147888183594,359.3336181640625,0.6723175644874573
4,276.955322265625,845.5852661132812,0.6343884468078613,278.9505615234375,741.1361694335938,0.6144274473190308,274.8005676269531,656.13134765625,0.8731181025505066,343.1833190917969,651.0576171875,0.6041010618209839,344.07843017578125,737.0989379882812,0.4886626601219177,344.3022766113281,832.4361572265625,0.6848769783973694,244.08876037597656,635.573974609375,0.5907391309738159,251.55848693847656,556.5595092773438,0.1268042027950287,268.951171875,459.0069885253906,0.6223688721656799,289.49102783203125,492.5761413574219,0.6288642883300781,341.16204833984375,496.2220764160156,0.6747585535049438,361.9420166015625,454.5914611816406,0.7643290162086487,376.0586853027344,565.4547119140625,0.6565014123916626,376.8983154296875,626.64208984375,0.726657509803772,317.25970458984375,618.659423828125,0.602813184261322,316.96563720703125,554.148193359375,0.7655513882637024,309.1529235839844,358.51959228515625,0.7093413472175598
5,277.7142639160156,845.1839599609375,0.6349006295204163,279.61834716796875,742.1549682617188,0.6325154900550842,277.01678466796875,654.651123046875,0.8464571237564087,345.76812744140625,651.8963623046875,0.6051551103591919,347.98779296875,743.8658447265625,0.5598734617233276,344.8297424316406,831.3111572265625,0.7027919888496399,246.45497131347656,635.2467651367188,0.6049640774726868,252.5701904296875,557.0436401367188,0.12253764271736145,271.88421630859375,458.1796875,0.6429017782211304,292.9894104003906,494.9219970703125,0.6088259220123291,344.3537292480469,494.25225830078125,0.688376784324646,363.8756408691406,454.7731628417969,0.7669048309326172,377.17999267578125,562.1410522460938,0.55637526512146,377.52593994140625,628.0550537109375,0.7202356457710266,317.06036376953125,615.0615234375,0.6051881909370422,317.4798583984375,553.7928466796875,0.809995710849762,310.2490234375,357.6484375,0.7073453664779663
6,342.91766357421875,832.6427001953125,0.6478595733642578,279.65179443359375,741.8432006835938,0.6034613847732544,277.5447692871094,653.15966796875,0.8504442572593689,347.2518005371094,651.8006591796875,0.6223867535591125,348.6404724121094,743.9021606445312,0.6263734698295593,345.459228515625,831.5206909179688,0.7135710716247559,248.3741912841797,633.1343383789062,0.5967550873756409,256.122314453125,506.41241455078125,0.12214896082878113,272.41119384765625,456.1666564941406,0.6103333830833435,292.3920593261719,494.7423095703125,0.6410162448883057,345.6905212402344,494.3098449707031,0.6630076169967651,368.5583801269531,452.4844055175781,0.7969340085983276,378.29669189453125,560.4877319335938,0.35572174191474915,379.8286437988281,630.8810424804688,0.8077281713485718,318.33441162109375,615.73779296875,0.6080058813095093,319.6243896484375,554.1952514648438,0.8335671424865723,313.7314147949219,358.44476318359375,0.7210150361061096
7,343.8954772949219,831.7551879882812,0.6855629682540894,280.4142761230469,742.2839965820312,0.6243471503257751,279.7051696777344,653.6492919921875,0.8293596506118774,350.33685302734375,649.1148071289062,0.6378805637359619,349.452392578125,743.5750732421875,0.7464209794998169,347.03106689453125,831.30615234375,0.6847717761993408,250.111572265625,630.89111328125,0.5872310400009155,252.61326599121094,522.3434448242188,0.17222002148628235,274.34906005859375,455.92254638671875,0.6632965803146362,295.2052917480469,493.9534912109375,0.6865667104721069,344.00726318359375,491.85491943359375,0.6687867641448975,369.7344055175781,452.1802673339844,0.8414421081542969,385.9798889160156,554.0728149414062,0.5059255957603455,382.4338684082031,630.3751220703125,0.8656668663024902,321.71099853515625,614.916748046875,0.6272037625312805,322.1987609863281,554.3522338867188,0.8061796426773071,315.2207946777344,357.7687683105469,0.7521694898605347
